,title,case_id,case_no,date,year,month,day,top5
0,14 Penn Plaza LLC v. Pyett,1,No. 07-581,2008-12-01,2008,12,1,"union, arbitration, bargaining, individual, collective"
1,Abbott v. Perez,2,No. 17-586,2018-04-24,2018,4,24,"heritage, corporation, legislature, keller, districts"
2,Abbott v. United States,3,No. 09-479,2010-10-04,2010,10,4,"clause, sentence, mcleese, minimum, provision"
3,Abdul-Kabir v. Quarterman,4,No. 05-11284,2006-01-17,2006,1,17,"jury, marshall, penry, johnson, brewer"
4,Abdur_Rahman v. Bell,5,No. 01-9094,2002-11-06,2002,11,6,"liebman, summers, successive, second, appeal"
5,Abramski v. United States,6,No. 121493,2014-01-22,2014,1,22,"gun, person, palmore, straw, dietz"
6,Abuelhawa v. United States,7,No. 08-192,2009-03-04,2009,3,4,"miller, use, felony, phone, drug"
7,Adams v. Florida Power Corp.,8,No. 01-584,2002-03-20,2002,3,20,"impact, age, disparate, crabtree, nager"
8,"Adarand Constructors, Inc. v. Mineta",9,No. 00-730,2001-10-31,2001,10,31,"olson, pendley, program, standing, department"
9,Adoptive Couple v. Baby Girl,10,No. 12-399,2013-04-16,2013,4,16,"father, rights, parent, blatt, custody"
10,Advocate Health Care Network v. Stapleton,11,No. 16-74,2017-03-27,2017,3,27,"church, plan, feldman, plans, blatt"
11,Aetna Health Inc. v. Davila,12,No. 02-1845,2004-03-23,2004,3,23,"medical, plan, young, inc, care"
12,"Agency for Int_l Development v. Alliance for Open Society Int_l, Inc.",13,No. 12-10,2013-04-22,2013,4,22,"page, program, bowker, srinivasan, policy"
13,Air Wisconsin Airlines Corp. v. Hoeper,14,No. 12315,2013-12-09,2013,12,9,"jury, tsa, russell, cohn, different"
14,Air _ Liquid Systems Corp. v. DeVries,15,No. 17-1104,2018-10-10,2018,10,10,"asbestos, heritage, goldstein, corporation, manufacturer"
15,"Alabama Dept. of Revenue v. CSX Transp., Inc..pdf(1).txt",16,No. 13553,2014-12-09,2014,12,9,"tax, railroads, well, brasher, carriers"
16,"Alabama Dept. of Revenue v. CSX Transp., Inc.",17,No. 13553,2014-12-09,2014,12,9,"tax, railroads, well, brasher, carriers"
17,Alabama Legislative Black Caucus v. Alabama,18,No. 13895,2014-11-12,2014,11,12,"districts, black, pildes, race, percent"
18,Alabama v. Bozeman,19,No. 00-492,2001-04-17,2001,4,17,"stewart, christensen, inc, fourteenth, depo"
19,Alabama v. North Carolina,20,No. 132,2010-01-11,2010,1,11,"carolina, phillips, commission, compact, money"
20,Alabama v. Shelton,21,No. 00-1214,2002-02-19,2002,2,19,"sentence, alabama, counsel, probation, pryor"
