,title,case_id,top5
0,14 Penn Plaza LLC v. Pyett,1,"union, arbitration, bargaining, individual, collective"
1,Abbott v. Perez,2,"heritage, corporation, legislature, keller, districts"
2,Abbott v. United States,3,"clause, sentence, mcleese, minimum, provision"
3,Abdul-Kabir v. Quarterman,4,"jury, marshall, penry, johnson, brewer"
4,Abdur_Rahman v. Bell,5,"liebman, summers, successive, second, appeal"
5,Abramski v. United States,6,"gun, person, palmore, straw, dietz"
6,Abuelhawa v. United States,7,"miller, use, felony, phone, drug"
7,Adams v. Florida Power Corp.,8,"impact, age, disparate, crabtree, nager"
8,"Adarand Constructors, Inc. v. Mineta",9,"olson, pendley, program, standing, department"
9,Adoptive Couple v. Baby Girl,10,"father, rights, parent, blatt, custody"
10,Advocate Health Care Network v. Stapleton,11,"church, plan, feldman, plans, blatt"
11,Aetna Health Inc. v. Davila,12,"medical, plan, young, inc, care"
12,"Agency for Int_l Development v. Alliance for Open Society Int_l, Inc.",13,"page, program, bowker, srinivasan, policy"
13,Air Wisconsin Airlines Corp. v. Hoeper,14,"jury, tsa, russell, cohn, different"
14,Air _ Liquid Systems Corp. v. DeVries,15,"asbestos, heritage, goldstein, corporation, manufacturer"
15,"Alabama Dept. of Revenue v. CSX Transp., Inc..pdf(1).txt",16,"tax, railroads, well, brasher, carriers"
16,"Alabama Dept. of Revenue v. CSX Transp., Inc.",17,"tax, railroads, well, brasher, carriers"
17,Alabama Legislative Black Caucus v. Alabama,18,"districts, black, pildes, race, percent"
18,Alabama v. Bozeman,19,"stewart, christensen, inc, fourteenth, depo"
19,Alabama v. North Carolina,20,"carolina, phillips, commission, compact, money"
20,Alabama v. Shelton,21,"sentence, alabama, counsel, probation, pryor"
21,Alaska Dept. of Environmental Conservation v. EPA,22,"epa, franklin, hungar, authority, agency"
22,Alaska v. United States,23,"minear, lands, franklin, alaska, company1111"
23,Alexander v. Sandoval,24,"action, sutton, private, schnapper, regulations"
24,Ali v. Federal Bureau of Prisons,25,"officer, officers, customs, enforcement, shanmugam"
25,Alice Corp. v. CLS Bank Int’l,26,"computer, phillips, patent, patents, abstract"
26,Alleyne v. United States,27,"jury, judge, dreeben, maguire, mandatory"
27,Allison Engine Co. v. United States Ex Rel. Sanders,28,"reporting, olson, false, navy, contractor"
28,"Already, LLC v. Nike, Inc.",29,"covenant, goldstein, dabney, want, trademark"
29,"Altria Group, Inc. v. Good",30,"frederick, health, olson, cigarette, advertising"
30,Alvarez v. Smith,31,"castiglione, hearing, property, peters, class"
31,"American Broadcasting Co. v. Aereo, Inc.",32,"performance, public, clement, frederick, aereo"
32,American Elec. Power Co. v. Connecticut,33,"underwood, common, katyal, displacement, keisler"
33,American Express Co. v. Italian Colors Restaurant,34,"arbitration, kellogg, class, clement, costs"
34,American Ins. Assn. v. Garamendi,35,"foreign, california, kaplan, reporting, 4th"
